ds,Commercial_5min_true,Commercial_5min_pred,Commercial_5min_mask,Office_5min_true,Office_5min_pred,Office_5min_mask,Public_5min_true,Public_5min_pred,Public_5min_mask,Residential_5min_true,Residential_5min_pred,Residential_5min_mask
2018-07-02 00:00:00,946.0445556640625,948.22802734375,0.0,282.6000061035156,271.6219787597656,1.0,123.25517272949219,309.2588806152344,0.0,465.25457763671875,430.22650146484375,0.0
2018-07-02 00:05:00,987.1817626953125,929.4964599609375,0.0,287.760009765625,272.30584716796875,1.0,173.02154541015625,309.7254943847656,0.0,484.45989990234375,424.79388427734375,0.0
2018-07-02 00:10:00,886.0927124023438,909.3883056640625,0.0,275.2799987792969,274.8623962402344,1.0,177.16236877441406,308.5177001953125,0.0,503.3631896972656,418.818359375,0.0
2018-07-02 00:15:00,804.7570190429688,888.0902099609375,0.0,285.1199951171875,273.37799072265625,1.0,155.00128173828125,307.1768493652344,0.0,475.12261962890625,411.9679260253906,0.0
2018-07-02 00:20:00,807.8306274414062,865.2755126953125,0.0,289.8000183105469,274.59197998046875,1.0,168.41079711914062,305.29144287109375,0.0,472.42901611328125,404.47735595703125,0.0
2018-07-02 00:25:00,726.870849609375,841.2198486328125,0.0,294.1199951171875,277.22088623046875,1.0,131.94619750976562,302.34625244140625,0.0,433.08404541015625,396.3143005371094,0.0
2018-07-02 00:30:00,814.2890625,817.252685546875,0.0,271.55999755859375,280.40240478515625,1.0,167.69363403320312,298.8494567871094,0.0,410.4919738769531,387.6253662109375,0.0
2018-07-02 00:35:00,876.3726196289062,793.1644897460938,0.0,282.8399963378906,276.33648681640625,1.0,181.82479858398438,294.8656005859375,0.0,481.2689514160156,378.4315185546875,0.0
2018-07-02 00:40:00,771.232666015625,769.1333618164062,0.0,277.44000244140625,275.8044738769531,1.0,135.94680786132812,290.5887451171875,0.0,428.46343994140625,369.01214599609375,0.0
2018-07-02 00:45:00,689.2071533203125,744.9915161132812,0.0,287.2799987792969,274.5102844238281,1.0,149.08819580078125,286.6894226074219,0.0,425.591552734375,359.3814392089844,0.0
2018-07-02 00:50:00,823.0759887695312,720.9378051757812,0.0,276.96002197265625,276.3229064941406,1.0,108.51304626464844,288.6539306640625,0.0,414.991455078125,349.7757873535156,0.0
2018-07-02 00:55:00,603.812744140625,697.4598999023438,0.0,284.1600036621094,274.9945373535156,1.0,169.24771118164062,280.2168884277344,0.0,412.76739501953125,340.2470703125,0.0
2018-07-02 01:00:00,789.13916015625,675.8928833007812,0.0,277.32000732421875,275.6722717285156,1.0,211.31500244140625,272.41644287109375,0.0,399.84710693359375,330.80291748046875,0.0
2018-07-02 01:05:00,677.8008422851562,655.3895874023438,0.0,275.1600036621094,274.38946533203125,1.0,127.29670715332031,264.5549011230469,0.0,398.6207275390625,321.7052307128906,0.0
2018-07-02 01:10:00,853.4327392578125,635.44970703125,0.0,284.8800048828125,272.5069274902344,1.0,146.06607055664062,256.8686218261719,0.0,428.9012451171875,312.50164794921875,0.0
2018-07-02 01:15:00,658.9375,616.2171020507812,0.0,285.1199951171875,273.86236572265625,1.0,143.5128173828125,249.66525268554688,0.0,381.6578369140625,303.7496643066406,0.0
2018-07-02 01:20:00,693.4424438476562,598.5156860351562,0.0,270.1199951171875,275.1906433105469,1.0,168.07882690429688,242.71353149414062,0.0,401.94891357421875,295.0626220703125,0.0
2018-07-02 01:25:00,650.421875,582.4501953125,0.0,274.44000244140625,271.8890686035156,1.0,185.4777374267578,236.09617614746094,0.0,395.55535888671875,286.6355285644531,0.0
2018-07-02 01:30:00,728.5061645507812,568.0648193359375,0.0,274.32000732421875,270.1817626953125,1.0,83.29913330078125,229.99224853515625,0.0,409.5009765625,278.6022033691406,0.0
2018-07-02 01:35:00,684.7879638671875,555.7105712890625,0.0,284.3999938964844,269.2590026855469,1.0,79.70376586914062,224.42189025878906,0.0,396.6513977050781,271.0010681152344,0.0
2018-07-02 01:40:00,577.9280395507812,545.3810424804688,0.0,266.0400085449219,271.44403076171875,1.0,173.04891967773438,219.38958740234375,0.0,352.584716796875,263.57666015625,0.0
2018-07-02 01:45:00,778.05029296875,535.8754272460938,0.0,270.239990234375,268.28826904296875,1.0,181.23248291015625,214.85073852539062,0.0,320.5397033691406,257.00390625,0.0
2018-07-02 01:50:00,622.9776611328125,527.2669067382812,0.0,273.3600158691406,266.4739990234375,1.0,135.86817932128906,210.8470458984375,0.0,374.12579345703125,250.69122314453125,0.0
2018-07-02 01:55:00,542.2103881835938,519.8018188476562,0.0,274.9200134277344,266.2642517089844,1.0,117.94126892089844,207.3799285888672,0.0,414.0390930175781,245.16690063476562,0.0
2018-07-02 02:00:00,605.321533203125,512.4369506835938,0.0,279.4800109863281,266.69171142578125,1.0,83.24461364746094,204.3979949951172,0.0,370.10272216796875,239.8632354736328,0.0
2018-07-02 02:05:00,687.5369873046875,505.69873046875,0.0,260.4000244140625,268.21337890625,1.0,151.0718231201172,201.87542724609375,0.0,319.3816223144531,235.4160614013672,0.0
2018-07-02 02:10:00,693.34521484375,500.47235107421875,0.0,272.0400085449219,264.1141052246094,1.0,135.79571533203125,199.66600036621094,0.0,385.5162658691406,231.51290893554688,0.0
2018-07-02 02:15:00,718.052734375,495.5557556152344,0.0,271.55999755859375,263.8150634765625,1.0,98.16244506835938,197.9126739501953,0.0,356.27008056640625,228.0272674560547,0.0
2018-07-02 02:20:00,631.6900634765625,491.112548828125,0.0,271.20001220703125,264.1043395996094,1.0,109.8895263671875,196.53378295898438,0.0,368.6830749511719,225.07406616210938,0.0
