epoch,train_loss,val_loss,lr,grad_norm,time_sec,best_val,early_cnt,tail_lambda,adj_entropy_mean,adj_max_mean,adj_diag_mean,val_overall_rmse,val_overall_mae,val_overall_r2,val_overall_mape,val_step_1_rmse,val_step_1_mae,val_step_1_r2,val_step_1_mape,val_step_2_rmse,val_step_2_mae,val_step_2_r2,val_step_2_mape,val_step_3_rmse,val_step_3_mae,val_step_3_r2,val_step_3_mape,val_step_4_rmse,val_step_4_mae,val_step_4_r2,val_step_4_mape,val_step_5_rmse,val_step_5_mae,val_step_5_r2,val_step_5_mape,val_step_6_rmse,val_step_6_mae,val_step_6_r2,val_step_6_mape,val_step_7_rmse,val_step_7_mae,val_step_7_r2,val_step_7_mape,val_step_8_rmse,val_step_8_mae,val_step_8_r2,val_step_8_mape,val_step_9_rmse,val_step_9_mae,val_step_9_r2,val_step_9_mape,val_step_10_rmse,val_step_10_mae,val_step_10_r2,val_step_10_mape,val_step_11_rmse,val_step_11_mae,val_step_11_r2,val_step_11_mape,val_step_12_rmse,val_step_12_mae,val_step_12_r2,val_step_12_mape
1,0.23968935828746818,0.20852138993922126,0.0001,1.8039581775665283,60.92676591873169,0.20852138993922126,0,1.0,0.4628399610519409,0.8286911249160767,0.0,133.70426453686164,88.201274086886,0.7692058807432406,0.2795112971609122,134.00496081623285,90.19717793034324,0.7681864895942558,0.2895854130957611,133.47596592925487,89.37538767765462,0.7700070042601143,0.28612866397885167,133.15763389988845,88.75671884831301,0.7710985070226247,0.28339858278807384,133.00506167942407,88.26931568551923,0.7716190253549241,0.280982806795159,133.00206187234923,87.91152310407674,0.7716263431158119,0.2789357096391941,133.05729548048987,87.67364984748197,0.7714336475479842,0.27778487078580627,133.17512857563761,87.5038390200063,0.7710261240426499,0.2767203704777479,133.4377037582379,87.45760991340961,0.7701203086426608,0.2760782265480294,133.79353923424338,87.53459789193134,0.7688894310068711,0.27588153435105917,134.23259312136184,87.66962787470537,0.7673682501790818,0.27580346026440955,134.7605181064979,87.90495217451853,0.765533408371561,0.27614268740507225,135.32560855972292,88.16067247354692,0.7635608173490456,0.27669182797468833
2,0.16469058926875998,0.20970733922543783,0.0001,1.8443562984466553,56.31110382080078,0.20852138993922126,1,1.0,0.4405815899372101,0.8392113447189331,0.0,136.37602893115897,86.10621828368393,0.7598899709529336,0.25874502698159246,137.33698178190838,87.77938630219535,0.7565151247090001,0.26382942741322074,136.71362174523816,87.01087505979304,0.7587140452350098,0.2614179312814563,136.30495142482854,86.46318437541903,0.7601499844384353,0.259593862774457,136.10032436021763,86.08186150808105,0.7608656826756808,0.2581725073203784,135.9036602659885,85.7707459482324,0.7615531628784608,0.2573280007290058,135.78425207851603,85.55403253309849,0.7619688892738034,0.2568964990530782,135.86913106201436,85.49570848204385,0.7616685901508065,0.25661407919757223,135.93846187700316,85.4711138426474,0.7614232111225001,0.2568470632724301,136.1582531348851,85.60090370839694,0.7606477776925742,0.25739762661631505,136.42792323238976,85.76348455495618,0.7596967947250111,0.25805526844051496,136.7953754987441,86.01087497002042,0.7583991499395104,0.25883519463696475,137.16843493250317,86.27230566446042,0.7570774459025822,0.25995249572159235
3,0.141563757736145,0.21039329034280893,0.0001,1.9346579313278198,56.78446865081787,0.20852138993922126,2,1.0,0.43181031942367554,0.8422751426696777,0.0,141.7473926778176,88.38930128636026,0.7406033410388749,0.26017623199832285,141.69823827586353,88.59881842076932,0.7408054336544474,0.2594541797049009,141.36765353629735,88.20510922019889,0.7420066188091838,0.25822069948173965,141.07664286871892,87.89944729350721,0.7430629584864445,0.2577182203795634,141.03811896271708,87.79731503358776,0.743199066322749,0.2575590323865738,140.99984141414336,87.73163102724506,0.7433350846093728,0.2576888903750232,141.09969194356282,87.8001854537472,0.7429680888640061,0.25827502720846285,141.30463884569315,87.95153377262571,0.7422180378793661,0.2590366642098691,141.56961006555238,88.16554687379117,0.7412480941201289,0.2598603494772809,141.97706290171791,88.49914540833595,0.739752900738932,0.26114682034790104,142.40687803552035,88.87852002518258,0.7381726811620464,0.26264705116105286,142.90703431071276,89.31585553648611,0.7363287127681468,0.2643620848952061,143.49811387609984,89.82867031677937,0.7341406997413379,0.26614661045092075
4,0.12848996023034176,0.21044402956742372,0.0001,2.8519861698150635,55.778237104415894,0.20852138993922126,3,1.0,0.43019309639930725,0.8416098356246948,0.0,137.6702587050109,85.59688559583373,0.7553109826977407,0.2515533721804089,136.87930585905525,85.0218039981511,0.7581352488912133,0.24800437067233014,136.6510945870829,84.77774200425289,0.7589347032030134,0.24758583431395187,136.58346985736313,84.67788852295496,0.7591687889615967,0.2475187225930441,136.6458542486906,84.68915061953635,0.7589448001385073,0.24786476672945318,136.72926401249273,84.74825299303288,0.7586472725753228,0.24851532768604476,136.99427533906106,84.97613572388933,0.7577076216176163,0.24943302239790374,137.31104660879672,85.25445230985899,0.7565831482878149,0.2507397149511478,137.6822327414855,85.57942003186778,0.7552631950722246,0.2520300262685224,138.16677571079973,86.00222947335999,0.7535341411267455,0.2536658947565908,138.7423298656449,86.53030594525914,0.7514744784895199,0.25567260562435307,139.41854188137552,87.11974347033569,0.7490445111780277,0.25765622884348377,140.18074684057135,87.78582779191875,0.7462908030508542,0.25995537817603304
5,0.12021560649864557,0.2086057456696562,5e-05,3.878750801086426,56.07951784133911,0.20852138993922126,4,1.0,0.42919498682022095,0.8408331871032715,0.0,137.46869060333356,84.57063168119093,0.7560269745825335,0.24996837756556106,135.50712263413,82.95697891121796,0.7629602182810852,0.24479114987974268,135.53248439724095,82.91903662379833,0.7628652154772789,0.24479191547379595,135.71867382094786,83.03025835813722,0.7622088425352342,0.24507863217515266,135.9792628651266,83.22351627169344,0.7612909143214948,0.24571883314405127,136.30581245732785,83.49008207813073,0.7601399000620003,0.24656425947036156,136.77233076791651,83.90015177664255,0.7584920619458583,0.2478685001328217,137.25849966500792,84.34017855013049,0.7567694168293643,0.24923976785674065,137.85917498166492,84.90649524997163,0.7546337441417821,0.25110060017925684,138.44423447729534,85.4529199624715,0.7525432694008382,0.25282145894734703,139.2117431251182,86.14223501552475,0.7497899381222375,0.2549518725606966,140.02504339260722,86.86446317661967,0.7468563381613413,0.25717073275810004,140.875803292058,87.6218129310795,0.7437686394038834,0.2595245385961797
6,0.11233297494671694,0.20417081267375664,5e-05,2.5019307136535645,57.38516664505005,0.20417081267375664,0,1.0,0.43094950914382935,0.8394976854324341,0.0,137.6780627476045,83.14315605308592,0.7552832407924897,0.23926622462295977,137.26657071873723,82.62283087175862,0.756764724400816,0.23570141103646522,137.07322167689406,82.44408560452854,0.7574430596046717,0.23542509728311012,136.9587030396198,82.34412153454687,0.7578437092172117,0.23550345605811737,136.9270622827679,82.3280279254719,0.7579516282719088,0.23587353234994546,136.95996254179582,82.3862200958615,0.757832133360042,0.23643046346710475,137.0687181220779,82.53158623716095,0.7574442263838672,0.23728500180405507,137.29338862283865,82.78175684404157,0.7566457503155678,0.23842049190990933,137.5721754538412,83.10178120624062,0.7556543029592769,0.23983490093802776,137.99056985466314,83.52287956502146,0.7541623823930269,0.24131250250139438,138.39980832672512,83.96488342014426,0.7527000636031784,0.24311854002098024,138.98510136336975,84.5421515043622,0.7506024846092152,0.24507002146245696,139.61006265578214,85.14784278113895,0.7483523287532222,0.24722062445181972
7,0.10850248803816191,0.20606858338334877,5e-05,1.47854745388031,56.03702712059021,0.20417081267375664,1,1.0,0.43309906125068665,0.8381885290145874,0.0,136.00815115819375,82.91533341914942,0.7611836294602624,0.24028989514794458,135.72587556126155,82.49056674036805,0.7621942806819574,0.23804008808068802,135.49270419805416,82.2885912067814,0.7630043981185906,0.23744847836010619,135.37908580710877,82.18699873458259,0.7633973304440684,0.23719562535711497,135.2872781343583,82.12600594071533,0.7637142653385018,0.2372815312379878,135.32566665867085,82.18530813991157,0.7635770623645425,0.2375809778780109,135.42914361935644,82.33173156889696,0.7632122784097272,0.23828696873075494,135.63129604474545,82.55926326967362,0.7625022444630973,0.23923251857950084,135.88897174827048,82.85544224656307,0.7615968933394551,0.2404087489285802,136.22911081478753,83.23411846636039,0.7603985918254463,0.24184886149742904,136.66400412024453,83.69066959214337,0.7588644126493203,0.24346465184580304,137.20567944422294,84.22143176165142,0.7569476615899171,0.24529287016545098,137.81209199722437,84.81414553055419,0.7547922893829484,0.24739852469973628
8,0.10574445565481011,0.20357934040535847,5e-05,3.8572328090667725,55.977277994155884,0.20357934040535847,0,1.0,0.43523645401000977,0.8368309736251831,0.0,136.65304892275765,83.25260227175535,0.7589135114557851,0.2374959931838495,136.65812158838563,83.03551880384569,0.7589162793823058,0.23494456694621277,136.42526959580331,82.82091308961412,0.7597307976220146,0.23439159707500046,136.1777568982223,82.6276743355652,0.7605974131577097,0.23416475992556496,136.07815599188612,82.5612215616055,0.7609435779476301,0.2343024227162303,136.07091116213,82.58797440389158,0.7609659088383006,0.2347358646990821,136.12964100943887,82.69541948867212,0.7607564088728268,0.23548012585060074,136.28336249428216,82.90247839130895,0.7602131476439797,0.23644451142557577,136.46127622721664,83.14744917666282,0.75958456702917,0.2377420125462143,136.730867409239,83.48307968946636,0.758630350296795,0.23929432956048682,137.11165934084443,83.88635206811804,0.757282102837638,0.2408214464105183,137.58529910557974,84.37727889096203,0.7556008501573529,0.24281483540802706,138.10761508614814,84.90608412425019,0.7537395191188481,0.24481661707425248
9,0.10350117533490426,0.211886038572477,5e-05,5.624796390533447,57.350507497787476,0.20357934040535847,1,1.0,0.43671301007270813,0.8361341953277588,0.0,147.88223350358206,86.25955600757044,0.7176640230086015,0.24003762846772633,148.03302110655468,86.04205046425588,0.7171122142231149,0.2380508446774697,147.74674620378693,85.79937976007359,0.7181978411563379,0.2374256481353266,147.5650886156372,85.65171550365595,0.7188851860844113,0.23708660637884293,147.470990735071,85.60728554557556,0.7192390003571263,0.237132298006638,147.41234962153774,85.62830016507172,0.7194585768192292,0.23744064259204367,147.44105568511986,85.72651049147781,0.7193456500877518,0.238058119357647,147.5214264323019,85.8975558039168,0.7190365077482698,0.2389128277107735,147.66301641588095,86.14790441927836,0.7184944527955766,0.24007644770975903,147.90025032881715,86.49125389122023,0.7175852727392922,0.24154779785933175,148.2028029035252,86.88977182998275,0.7164263572727851,0.2431050063099379,148.61029096779984,87.36726293247955,0.714863118667747,0.24487165413528902,149.01037265576483,87.86591084302356,0.7133232492538157,0.2467446994674755
10,0.10138686258436704,0.21383871000461976,5e-05,3.3983232975006104,56.172120571136475,0.20357934040535847,2,1.0,0.4396294355392456,0.8345282077789307,0.0,148.901916514704,86.20833525846474,0.7137570527362987,0.24235779551005776,149.33480754155977,86.18918499450746,0.7121149683858199,0.24165201675285744,149.03954757367893,85.92719188616566,0.7132446611713723,0.2407919107766531,148.84190488682387,85.77167820071713,0.7139994124552824,0.24019950920684496,148.6336723918375,85.641178094136,0.7147944313674495,0.2399185441148303,148.52478492889725,85.64034609294818,0.7152084343571491,0.24006676932974297,148.48191038281522,85.70068336961876,0.7153691253163398,0.2404230137088642,148.5161376786312,85.82504384354579,0.7152347579075483,0.2411389404971794,148.60643352589682,86.04346964581818,0.7148858913458848,0.24202337831994583,148.77221016833627,86.34211281250644,0.7142454513744498,0.24321918257942168,149.01132064682972,86.68831953400615,0.713323855590535,0.24459856047530656,149.3431417695131,87.1235792945258,0.7120439595628789,0.24622036429649077,149.71141036803525,87.60740675417524,0.7106194916983043,0.24804212880757678
