epoch,train_loss,val_loss,lr,grad_norm,time_sec,best_val,early_cnt,adj_entropy_mean,adj_max_mean,adj_diag_mean,val_overall_rmse,val_overall_mae,val_overall_r2,val_overall_mape
1,0.2754272362081016,0.1842101673577346,0.00010554159547831738,0.1781894415616989,66.2625424861908,0.1842101673577346,0,0.8198534846305847,0.7095071077346802,0.5897909998893738,181.7976632186178,92.75189113269073,0.5733116223087646,0.23121234247272288
2,0.14947938475666978,0.14920599787842995,0.00012202989622240137,0.575606107711792,58.9850115776062,0.14920599787842995,0,0.683292806148529,0.7888609766960144,0.6668021082878113,160.8605434244634,81.4031335166918,0.6659332259035773,0.20173597178275687
3,0.11256347033308774,0.10759912621156842,0.0001490588067084808,0.5740446448326111,59.11225175857544,0.10759912621156842,0,0.5919185876846313,0.8262760043144226,0.700501561164856,107.22526664427627,60.24220157920231,0.851567675015986,0.17164823685573244
4,0.09490410153095315,0.0960635978582443,0.00018596262343373987,0.9453555345535278,59.25170826911926,0.0960635978582443,0,0.5445781350135803,0.8395222425460815,0.7261615991592407,104.67333849854272,53.59973532644247,0.8585488859478474,0.14736463002070802
5,0.08255024270676985,0.08918981140881192,0.00023183243073641297,0.7054835557937622,59.13019251823425,0.08918981140881192,0,0.4986993074417114,0.8522006273269653,0.7463163733482361,101.75562251410132,50.165613703731836,0.866324735722377,0.13345067988087664
6,0.07576841165016338,0.08411955267337023,0.00028553848676432275,0.7682515382766724,59.09635782241821,0.08411955267337023,0,0.46462708711624146,0.8595298528671265,0.7609627842903137,98.6654426288233,47.74544518162352,0.8743205251349512,0.13310842679537815
7,0.07150219960547075,0.08428843611595678,0.0003457580482408363,0.7068371176719666,59.126065731048584,0.08411955267337023,1,0.4405733644962311,0.8643766641616821,0.7707784175872803,99.52160459524329,48.64326990222338,0.8721299133556637,0.13186710323601197
8,0.06813895281676839,0.07096296358926624,0.00041100794872335543,0.33316323161125183,59.25696921348572,0.07096296358926624,0,0.4249826669692993,0.8639234304428101,0.7816312313079834,74.29644592531419,39.40558853939904,0.9287359830487844,0.10985243411475183
9,0.06530933272911281,0.07644217895964782,0.00047968112797421546,0.3120894730091095,59.060969829559326,0.07096296358926624,1,0.42323970794677734,0.8568515777587891,0.7911968231201172,87.60738342318531,43.60947451810111,0.9009132374131191,0.12226176616258679
10,0.06541115957789305,0.06863016653440747,0.0005500862127506687,0.2840120494365692,59.091556549072266,0.06863016653440747,0,0.4201045632362366,0.8509902954101562,0.7978676557540894,76.09427341521699,38.80935605670696,0.9252453574144316,0.10591556812460187
11,0.06236805202575719,0.06853292995662082,0.0006204891741662808,0.306200236082077,59.162885665893555,0.06853292995662082,0,0.4101909399032593,0.8535722494125366,0.8001221418380737,75.42225439194569,37.84420070236315,0.926559903440926,0.10436031630468365
12,0.06403622695403854,0.06504272647640284,0.0006891560356315366,0.6586611866950989,59.11954307556152,0.06504272647640284,0,0.4075922966003418,0.848405122756958,0.805077075958252,72.87759879135155,37.232613353662366,0.9314318661296401,0.10459098122406998
13,0.06098819549490766,0.07699567631033122,0.0007543955795064086,0.290682852268219,59.0730094909668,0.06504272647640284,1,0.40794041752815247,0.8479820489883423,0.8054155111312866,99.38738125164905,46.96737830693701,0.872474593825775,0.12508888669057816
14,0.0639549261549624,0.05708869396909779,0.0008146010006293662,0.6074776649475098,59.08847093582153,0.05708869396909779,0,0.4100210964679718,0.8370431661605835,0.8117896318435669,56.05029585620623,32.65777831705335,0.9594407384853395,0.09434436179231559
15,0.05523334596215225,0.04770813845828468,0.0008682894808250086,0.11980896443128586,59.10488295555115,0.04770813845828468,0,0.30753785371780396,0.9210538268089294,0.9210538268089294,44.514096476761615,26.72519544068353,0.9744183032889631,0.07774042687128178
16,0.053021473174051544,0.044859179587779095,0.0009141387096973804,0.09955217689275742,65.39190006256104,0.044859179587779095,0,0.21279872953891754,0.9578849077224731,0.9578849077224731,42.38051910342151,24.476649147702243,0.9768118145966402,0.07004172886855783
17,0.05109058294172694,0.0454603846312738,0.0009510194522269109,0.2700131833553314,59.059680461883545,0.044859179587779095,1,0.18861673772335052,0.9649270176887512,0.9649270176887512,43.38303600319424,25.085379477716863,0.9757017999789891,0.07271606887255025
18,0.049751755077301,0.041918838086227574,0.0009780233610534282,0.14663323760032654,65.53343963623047,0.041918838086227574,0,0.186970055103302,0.9655752182006836,0.9655752182006836,40.44797843618077,22.52027823176555,0.9788783490279347,0.0629477876069974
19,0.04953474937597426,0.04314365075426359,0.0009944853484478216,0.13628405332565308,59.119893312454224,0.041918838086227574,1,0.18873944878578186,0.9652344584465027,0.9652344584465027,40.63901765560979,23.629364435192233,0.9786783591720979,0.06880576799068752
20,0.04907461860921325,0.04196396705639713,0.000999999999547423,0.11485934257507324,59.10952639579773,0.041918838086227574,2,0.19137173891067505,0.9646028280258179,0.9646028280258179,38.76767990702203,21.794162105940824,0.980596778464149,0.06107997865800022
