ds,Commercial_5min_true,Commercial_5min_pred,Commercial_5min_mask,Office_5min_true,Office_5min_pred,Office_5min_mask,Public_5min_true,Public_5min_pred,Public_5min_mask,Residential_5min_true,Residential_5min_pred,Residential_5min_mask
2018-07-02 00:00:00,946.0445556640625,822.3970336914062,0.0,282.6000061035156,268.2477111816406,1.0,123.25517272949219,520.7644653320312,0.0,465.25457763671875,355.37786865234375,0.0
2018-07-02 00:05:00,987.1817626953125,819.93994140625,0.0,287.760009765625,269.07672119140625,1.0,173.02154541015625,518.1258544921875,0.0,484.45989990234375,354.30303955078125,0.0
2018-07-02 00:10:00,886.0927124023438,817.4580078125,0.0,275.2799987792969,271.774658203125,1.0,177.16236877441406,515.4820556640625,0.0,503.3631896972656,353.215087890625,0.0
2018-07-02 00:15:00,804.7570190429688,814.8877563476562,0.0,285.1199951171875,269.8085021972656,1.0,155.00128173828125,512.662841796875,0.0,475.12261962890625,352.0941162109375,0.0
2018-07-02 00:20:00,807.8306274414062,812.2916870117188,0.0,289.8000183105469,271.17864990234375,1.0,168.41079711914062,509.8458251953125,0.0,472.42901611328125,350.9621276855469,0.0
2018-07-02 00:25:00,726.870849609375,809.64501953125,0.0,294.1199951171875,274.01361083984375,1.0,131.94619750976562,506.9933776855469,0.0,433.08404541015625,349.8095703125,0.0
2018-07-02 00:30:00,814.2890625,806.9098510742188,0.0,271.55999755859375,277.3406677246094,1.0,167.69363403320312,504.04278564453125,0.0,410.4919738769531,348.6169738769531,0.0
2018-07-02 00:35:00,876.3726196289062,804.046875,0.0,282.8399963378906,272.4088134765625,1.0,181.82479858398438,500.826171875,0.0,481.2689514160156,347.3630065917969,0.0
2018-07-02 00:40:00,771.232666015625,801.1497802734375,0.0,277.44000244140625,271.943359375,1.0,135.94680786132812,497.6168518066406,0.0,428.46343994140625,346.08819580078125,0.0
2018-07-02 00:45:00,689.2071533203125,798.2133178710938,0.0,287.2799987792969,270.725341796875,1.0,149.08819580078125,494.30328369140625,0.0,425.591552734375,344.773193359375,0.0
2018-07-02 00:50:00,823.0759887695312,795.4254150390625,0.0,276.96002197265625,273.05902099609375,1.0,108.51304626464844,490.942626953125,0.0,414.991455078125,343.4369812011719,0.0
2018-07-02 00:55:00,603.812744140625,792.2921142578125,0.0,284.1600036621094,271.7772521972656,1.0,169.24771118164062,487.38275146484375,0.0,412.76739501953125,342.04815673828125,0.0
2018-07-02 01:00:00,789.13916015625,789.0516357421875,0.0,277.32000732421875,272.8045349121094,1.0,211.31500244140625,483.7378845214844,0.0,399.84710693359375,340.6253967285156,0.0
2018-07-02 01:05:00,677.8008422851562,785.6898193359375,0.0,275.1600036621094,271.7010498046875,1.0,127.29670715332031,479.90771484375,0.0,398.6207275390625,339.145263671875,0.0
2018-07-02 01:10:00,853.4327392578125,782.2059326171875,0.0,284.8800048828125,270.04327392578125,1.0,146.06607055664062,475.89190673828125,0.0,428.9012451171875,337.603271484375,0.0
2018-07-02 01:15:00,658.9375,778.6712036132812,0.0,285.1199951171875,272.0102844238281,1.0,143.5128173828125,471.82708740234375,0.0,381.6578369140625,336.03656005859375,0.0
2018-07-02 01:20:00,693.4424438476562,774.9471435546875,0.0,270.1199951171875,273.64923095703125,1.0,168.07882690429688,467.5377197265625,0.0,401.94891357421875,334.3995666503906,0.0
2018-07-02 01:25:00,650.421875,770.9067993164062,0.0,274.44000244140625,269.71221923828125,1.0,185.4777374267578,462.79754638671875,0.0,395.55535888671875,332.6015319824219,0.0
2018-07-02 01:30:00,728.5061645507812,766.5847778320312,0.0,274.32000732421875,268.0029602050781,1.0,83.29913330078125,457.76458740234375,0.0,409.5009765625,330.6761474609375,0.0
2018-07-02 01:35:00,684.7879638671875,761.9345703125,0.0,284.3999938964844,267.3413391113281,1.0,79.70376586914062,452.3912353515625,0.0,396.6513977050781,328.61956787109375,0.0
2018-07-02 01:40:00,577.9280395507812,756.9769287109375,0.0,266.0400085449219,270.23675537109375,1.0,173.04891967773438,446.694580078125,0.0,352.584716796875,326.41253662109375,0.0
2018-07-02 01:45:00,778.05029296875,751.6131591796875,0.0,270.239990234375,266.8203125,1.0,181.23248291015625,440.45098876953125,0.0,320.5397033691406,324.02777099609375,0.0
2018-07-02 01:50:00,622.9776611328125,745.85693359375,0.0,273.3600158691406,265.1553649902344,1.0,135.86817932128906,433.80108642578125,0.0,374.12579345703125,321.43475341796875,0.0
2018-07-02 01:55:00,542.2103881835938,739.67578125,0.0,274.9200134277344,265.3335266113281,1.0,117.94126892089844,426.73675537109375,0.0,414.0390930175781,318.6839904785156,0.0
2018-07-02 02:00:00,605.321533203125,733.0491943359375,0.0,279.4800109863281,266.0928955078125,1.0,83.24461364746094,419.2508850097656,0.0,370.10272216796875,315.6915588378906,0.0
2018-07-02 02:05:00,687.5369873046875,726.0035400390625,0.0,260.4000244140625,267.9623718261719,1.0,151.0718231201172,411.3158264160156,0.0,319.3816223144531,312.4562683105469,0.0
2018-07-02 02:10:00,693.34521484375,718.464111328125,0.0,272.0400085449219,263.2560119628906,1.0,135.79571533203125,402.8564147949219,0.0,385.5162658691406,308.987548828125,0.0
2018-07-02 02:15:00,718.052734375,710.5306396484375,0.0,271.55999755859375,263.0087890625,1.0,98.16244506835938,394.1144714355469,0.0,356.27008056640625,305.3168640136719,0.0
2018-07-02 02:20:00,631.6900634765625,702.1571044921875,0.0,271.20001220703125,263.2257995605469,1.0,109.8895263671875,384.9957275390625,0.0,368.6830749511719,301.52349853515625,0.0
