epoch,train_loss,val_mae,val_rmse,lr
1,0.36555182652027907,0.7316080331802368,1.0054148460231527,0.001
2,0.3365175346776561,0.7179213762283325,0.9980445160063395,0.001
3,0.32475262184164283,0.6906914710998535,0.9649689319036843,0.001
4,0.3183324710280532,0.729474663734436,1.029504107292471,0.001
5,0.3152015542360779,0.737388014793396,1.0389625673352494,0.001
6,0.3119476285407753,0.6859984397888184,0.9798375563866034,0.001
7,0.3065349954253972,0.694502592086792,1.0145202497000203,0.001
8,0.30154188025382256,0.6730937361717224,0.9670516786129497,0.001
9,0.298668600759729,0.6781003475189209,0.9762449740135165,0.001
10,0.2971380881393314,0.6725587248802185,0.9723929236432707,0.001
11,0.2990682615387824,0.6667218804359436,0.9712716784322423,0.001
12,0.29444573158284315,0.6577740907669067,0.9641464431793628,0.001
13,0.293923467596593,0.6601651310920715,0.9634864928798821,0.001
14,0.2963397700310549,0.6665448546409607,0.9622942023289642,0.001
15,0.2912078475925628,0.6561449766159058,0.9561712332305013,0.001
16,0.2891589715761921,0.6712192893028259,0.981707394655823,0.001
17,0.28797607587959134,0.656053900718689,0.957669384020296,0.001
18,0.2859510055539075,0.6783968806266785,0.9958934507752002,0.001
19,0.28437693911015127,0.6630808711051941,0.9715535911134424,0.001
20,0.2831370613731452,0.661639392375946,0.9603645042988879,0.001
21,0.28358818317149187,0.6669053435325623,0.9701600119268536,0.0005
22,0.2763712147915854,0.6726630330085754,0.9873099095841279,0.0005
23,0.2738353150075217,0.6620980501174927,0.9748868681000232,0.0005
24,0.27231952025906264,0.6711256504058838,0.9908558778040154,0.0005
25,0.26963874666192245,0.6846423745155334,1.0159976568983498,0.00025
