ds,Commercial_5min_true,Commercial_5min_pred,Commercial_5min_mask,Office_5min_true,Office_5min_pred,Office_5min_mask,Public_5min_true,Public_5min_pred,Public_5min_mask,Residential_5min_true,Residential_5min_pred,Residential_5min_mask
2018-07-02 00:00:00,946.0445556640625,796.6551513671875,0.0,282.6000061035156,273.3712463378906,1.0,123.25517272949219,451.1727600097656,0.0,465.25457763671875,358.7721252441406,0.0
2018-07-02 00:05:00,987.1817626953125,779.1204223632812,0.0,287.760009765625,274.3924255371094,1.0,173.02154541015625,442.0260009765625,0.0,484.45989990234375,353.45068359375,0.0
2018-07-02 00:10:00,886.0927124023438,761.3617553710938,0.0,275.2799987792969,277.3851318359375,1.0,177.16236877441406,432.9315490722656,0.0,503.3631896972656,347.8243713378906,0.0
2018-07-02 00:15:00,804.7570190429688,743.9730834960938,0.0,285.1199951171875,275.7969665527344,1.0,155.00128173828125,423.983642578125,0.0,475.12261962890625,341.9832458496094,0.0
2018-07-02 00:20:00,807.8306274414062,726.117919921875,0.0,289.8000183105469,277.23388671875,1.0,168.41079711914062,415.5159912109375,0.0,472.42901611328125,336.1083679199219,0.0
2018-07-02 00:25:00,726.870849609375,708.990478515625,0.0,294.1199951171875,280.1279602050781,1.0,131.94619750976562,407.58929443359375,0.0,433.08404541015625,330.299560546875,0.0
2018-07-02 00:30:00,814.2890625,695.7579956054688,0.0,271.55999755859375,283.5243835449219,1.0,167.69363403320312,400.25262451171875,0.0,410.4919738769531,324.67041015625,0.0
2018-07-02 00:35:00,876.3726196289062,685.9827880859375,0.0,282.8399963378906,278.8482360839844,1.0,181.82479858398438,393.4464111328125,0.0,481.2689514160156,319.3049011230469,0.0
2018-07-02 00:40:00,771.232666015625,678.9671630859375,0.0,277.44000244140625,278.31524658203125,1.0,135.94680786132812,387.40753173828125,0.0,428.46343994140625,314.3125915527344,0.0
2018-07-02 00:45:00,689.2071533203125,673.9512939453125,0.0,287.2799987792969,277.06866455078125,1.0,149.08819580078125,382.03582763671875,0.0,425.591552734375,309.73193359375,0.0
2018-07-02 00:50:00,823.0759887695312,670.3184814453125,0.0,276.96002197265625,279.2305908203125,1.0,108.51304626464844,377.408935546875,0.0,414.991455078125,305.61456298828125,0.0
2018-07-02 00:55:00,603.812744140625,667.2554931640625,0.0,284.1600036621094,278.02996826171875,1.0,169.24771118164062,373.396484375,0.0,412.76739501953125,301.956298828125,0.0
2018-07-02 01:00:00,789.13916015625,664.3453369140625,0.0,277.32000732421875,278.95166015625,1.0,211.31500244140625,370.0144958496094,0.0,399.84710693359375,298.7608947753906,0.0
2018-07-02 01:05:00,677.8008422851562,661.7171020507812,0.0,275.1600036621094,277.83526611328125,1.0,127.29670715332031,367.1426086425781,0.0,398.6207275390625,296.00250244140625,0.0
2018-07-02 01:10:00,853.4327392578125,659.4746704101562,0.0,284.8800048828125,276.21234130859375,1.0,146.06607055664062,364.7511901855469,0.0,428.9012451171875,293.606201171875,0.0
2018-07-02 01:15:00,658.9375,657.6314086914062,0.0,285.1199951171875,277.9763488769531,1.0,143.5128173828125,362.85699462890625,0.0,381.6578369140625,291.5959167480469,0.0
2018-07-02 01:20:00,693.4424438476562,656.0125732421875,0.0,270.1199951171875,279.5774841308594,1.0,168.07882690429688,361.274169921875,0.0,401.94891357421875,289.8352355957031,0.0
2018-07-02 01:25:00,650.421875,654.6005249023438,0.0,274.44000244140625,276.1003112792969,1.0,185.4777374267578,359.8830871582031,0.0,395.55535888671875,288.2782287597656,0.0
2018-07-02 01:30:00,728.5061645507812,653.4324340820312,0.0,274.32000732421875,274.4739685058594,1.0,83.29913330078125,358.7574462890625,0.0,409.5009765625,286.9200134277344,0.0
2018-07-02 01:35:00,684.7879638671875,652.4633178710938,0.0,284.3999938964844,273.6956481933594,1.0,79.70376586914062,357.82916259765625,0.0,396.6513977050781,285.74462890625,0.0
2018-07-02 01:40:00,577.9280395507812,651.6775512695312,0.0,266.0400085449219,276.3415222167969,1.0,173.04891967773438,357.0995788574219,0.0,352.584716796875,284.60107421875,0.0
2018-07-02 01:45:00,778.05029296875,650.9834594726562,0.0,270.239990234375,272.9454650878906,1.0,181.23248291015625,356.4017333984375,0.0,320.5397033691406,283.73114013671875,0.0
2018-07-02 01:50:00,622.9776611328125,650.3916625976562,0.0,273.3600158691406,271.29937744140625,1.0,135.86817932128906,355.8067932128906,0.0,374.12579345703125,282.821533203125,0.0
2018-07-02 01:55:00,542.2103881835938,649.8524780273438,0.0,274.9200134277344,271.6072998046875,1.0,117.94126892089844,355.3040771484375,0.0,414.0390930175781,282.10009765625,0.0
2018-07-02 02:00:00,605.321533203125,649.3516845703125,0.0,279.4800109863281,272.63238525390625,1.0,83.24461364746094,354.8014221191406,0.0,370.10272216796875,281.0957946777344,0.0
2018-07-02 02:05:00,687.5369873046875,648.8394775390625,0.0,260.4000244140625,274.83587646484375,1.0,151.0718231201172,354.290771484375,0.0,319.3816223144531,280.2996826171875,0.0
2018-07-02 02:10:00,693.34521484375,648.22314453125,0.0,272.0400085449219,270.56475830078125,1.0,135.79571533203125,353.623779296875,0.0,385.5162658691406,279.7319641113281,0.0
2018-07-02 02:15:00,718.052734375,647.5624389648438,0.0,271.55999755859375,270.6702880859375,1.0,98.16244506835938,352.95538330078125,0.0,356.27008056640625,279.39508056640625,0.0
2018-07-02 02:20:00,631.6900634765625,646.7716064453125,0.0,271.20001220703125,271.3463439941406,1.0,109.8895263671875,352.1480712890625,0.0,368.6830749511719,279.1535949707031,0.0
