epoch,train_loss,val_mae,val_rmse,lr
1,0.35364875419519104,0.7508582472801208,0.925690401021857,0.001
2,0.3267876560881618,0.7339942455291748,0.9200415401824615,0.001
3,0.3159794691407243,0.7079687118530273,0.9028323943579415,0.001
4,0.30917575335476105,0.7019674777984619,0.8982401091967762,0.001
5,0.3054354798144042,0.6766988039016724,0.8798596445774086,0.001
6,0.3004320428952227,0.6875996589660645,0.8809267005650888,0.001
7,0.29834931462306996,0.6721526980400085,0.8777021170419484,0.001
8,0.2967981933155102,0.6792068481445312,0.8836534933573408,0.001
9,0.29264705388644113,0.6905866861343384,0.8820520011684105,0.001
10,0.2936435131163433,0.6629327535629272,0.8713928188241705,0.001
11,0.2919534408674887,0.6911806464195251,0.8951537119609204,0.001
12,0.29374621286408126,0.682673990726471,0.8840107170896642,0.001
13,0.2933209346518235,0.6734167337417603,0.8808048003010474,0.001
14,0.2905068583662173,0.6663525104522705,0.875050951972846,0.0005
15,0.2844180930177945,0.6620227098464966,0.8732907426133554,0.0005
16,0.2826064236138899,0.6565396189689636,0.8687619873976246,0.0005
17,0.280620236865538,0.6518950462341309,0.8604631990191692,0.0005
18,0.2796211243670297,0.6565368175506592,0.8695327731356515,0.0005
19,0.2785908156328392,0.6484196782112122,0.8625301701341421,0.0005
20,0.27701340395298363,0.651598334312439,0.8628134171848195,0.0005
21,0.27647742509709317,0.6479927897453308,0.8625788873724916,0.0005
22,0.2740922762667377,0.6471112966537476,0.8682756212816435,0.0005
23,0.27213377285918616,0.6525152325630188,0.8687361215265023,0.0005
24,0.2711285100928668,0.6477426886558533,0.866085142271434,0.0005
25,0.2689048601801324,0.6562357544898987,0.876343309057178,0.0005
26,0.26779623669432323,0.6523851156234741,0.8737676320732282,0.00025
27,0.2627673278230183,0.655353844165802,0.8827524417939576,0.00025
28,0.2598396198237698,0.6564217209815979,0.8881003417874453,0.00025
29,0.2579351577066606,0.6587503552436829,0.8931294414284364,0.00025
30,0.2554209958161077,0.6574034094810486,0.8905102839960412,0.000125
