ds,Commercial_5min_true,Commercial_5min_pred,Commercial_5min_mask,Office_5min_true,Office_5min_pred,Office_5min_mask,Public_5min_true,Public_5min_pred,Public_5min_mask,Residential_5min_true,Residential_5min_pred,Residential_5min_mask
2018-07-02 00:00:00,946.0445556640625,875.3681030273438,0.0,282.6000061035156,263.0884094238281,1.0,123.25517272949219,421.29351806640625,0.0,465.25457763671875,380.21038818359375,0.0
2018-07-02 00:05:00,987.1817626953125,864.551513671875,0.0,287.760009765625,263.9405212402344,1.0,173.02154541015625,411.6953125,0.0,484.45989990234375,375.8182373046875,0.0
2018-07-02 00:10:00,886.0927124023438,852.5234375,0.0,275.2799987792969,266.6823425292969,1.0,177.16236877441406,401.0312194824219,0.0,503.3631896972656,370.875,0.0
2018-07-02 00:15:00,804.7570190429688,839.3392333984375,0.0,285.1199951171875,265.24273681640625,1.0,155.00128173828125,389.6627197265625,0.0,475.12261962890625,365.3623962402344,0.0
2018-07-02 00:20:00,807.8306274414062,825.2523803710938,0.0,289.8000183105469,266.8178405761719,1.0,168.41079711914062,377.63690185546875,0.0,472.42901611328125,359.401123046875,0.0
2018-07-02 00:25:00,726.870849609375,810.4730224609375,0.0,294.1199951171875,269.74322509765625,1.0,131.94619750976562,364.94647216796875,0.0,433.08404541015625,353.07275390625,0.0
2018-07-02 00:30:00,814.2890625,795.2431030273438,0.0,271.55999755859375,273.18402099609375,1.0,167.69363403320312,351.77935791015625,0.0,410.4919738769531,346.4898986816406,0.0
2018-07-02 00:35:00,876.3726196289062,779.615234375,0.0,282.8399963378906,269.02874755859375,1.0,181.82479858398438,338.20098876953125,0.0,481.2689514160156,339.69940185546875,0.0
2018-07-02 00:40:00,771.232666015625,763.8326416015625,0.0,277.44000244140625,268.8662414550781,1.0,135.94680786132812,324.44580078125,0.0,428.46343994140625,332.8384094238281,0.0
2018-07-02 00:45:00,689.2071533203125,747.90771484375,0.0,287.2799987792969,267.91864013671875,1.0,149.08819580078125,310.6965026855469,0.0,425.591552734375,325.9294738769531,0.0
2018-07-02 00:50:00,823.0759887695312,731.90576171875,0.0,276.96002197265625,270.2523498535156,1.0,108.51304626464844,297.12713623046875,0.0,414.991455078125,319.033447265625,0.0
2018-07-02 00:55:00,603.812744140625,715.7940063476562,0.0,284.1600036621094,269.29864501953125,1.0,169.24771118164062,284.185302734375,0.0,412.76739501953125,312.14862060546875,0.0
2018-07-02 01:00:00,789.13916015625,699.6638793945312,0.0,277.32000732421875,270.47900390625,1.0,211.31500244140625,272.0720520019531,0.0,399.84710693359375,305.315185546875,0.0
2018-07-02 01:05:00,677.8008422851562,683.4380493164062,0.0,275.1600036621094,269.4954528808594,1.0,127.29670715332031,261.0436706542969,0.0,398.6207275390625,298.537841796875,0.0
2018-07-02 01:10:00,853.4327392578125,667.0621337890625,0.0,284.8800048828125,267.9508972167969,1.0,146.06607055664062,251.32052612304688,0.0,428.9012451171875,291.8347473144531,0.0
2018-07-02 01:15:00,658.9375,650.4915161132812,0.0,285.1199951171875,269.7388000488281,1.0,143.5128173828125,243.14968872070312,0.0,381.6578369140625,285.24249267578125,0.0
2018-07-02 01:20:00,693.4424438476562,633.810791015625,0.0,270.1199951171875,271.31402587890625,1.0,168.07882690429688,236.23976135253906,0.0,401.94891357421875,278.7506408691406,0.0
2018-07-02 01:25:00,650.421875,617.1207885742188,0.0,274.44000244140625,267.7452697753906,1.0,185.4777374267578,230.50057983398438,0.0,395.55535888671875,272.3741455078125,0.0
2018-07-02 01:30:00,728.5061645507812,600.700439453125,0.0,274.32000732421875,265.98895263671875,1.0,83.29913330078125,225.9117431640625,0.0,409.5009765625,266.20751953125,0.0
2018-07-02 01:35:00,684.7879638671875,585.0634155273438,0.0,284.3999938964844,265.0536804199219,1.0,79.70376586914062,222.36270141601562,0.0,396.6513977050781,260.3083801269531,0.0
2018-07-02 01:40:00,577.9280395507812,570.849365234375,0.0,266.0400085449219,267.45697021484375,1.0,173.04891967773438,219.67001342773438,0.0,352.584716796875,254.7531280517578,0.0
2018-07-02 01:45:00,778.05029296875,557.5521240234375,0.0,270.239990234375,264.0589599609375,1.0,181.23248291015625,217.6147918701172,0.0,320.5397033691406,249.6251220703125,0.0
2018-07-02 01:50:00,622.9776611328125,545.6306762695312,0.0,273.3600158691406,262.27301025390625,1.0,135.86817932128906,216.14576721191406,0.0,374.12579345703125,244.94760131835938,0.0
2018-07-02 01:55:00,542.2103881835938,535.7523193359375,0.0,274.9200134277344,262.1759948730469,1.0,117.94126892089844,215.1431884765625,0.0,414.0390930175781,240.810302734375,0.0
2018-07-02 02:00:00,605.321533203125,526.861572265625,0.0,279.4800109863281,262.6522521972656,1.0,83.24461364746094,214.46791076660156,0.0,370.10272216796875,237.1360626220703,0.0
2018-07-02 02:05:00,687.5369873046875,519.1151123046875,0.0,260.4000244140625,264.4152526855469,1.0,151.0718231201172,214.040771484375,0.0,319.3816223144531,234.00308227539062,0.0
2018-07-02 02:10:00,693.34521484375,513.2822875976562,0.0,272.0400085449219,259.9484558105469,1.0,135.79571533203125,213.7242431640625,0.0,385.5162658691406,231.3231201171875,0.0
2018-07-02 02:15:00,718.052734375,508.4054260253906,0.0,271.55999755859375,259.8456115722656,1.0,98.16244506835938,213.5570068359375,0.0,356.27008056640625,229.05735778808594,0.0
2018-07-02 02:20:00,631.6900634765625,505.0616455078125,0.0,271.20001220703125,260.24029541015625,1.0,109.8895263671875,213.4626922607422,0.0,368.6830749511719,227.17356872558594,0.0
