epoch,train_loss,val_loss,lr,grad_norm,time_sec,best_val,early_cnt,tail_lambda,adj_entropy_mean,adj_max_mean,adj_diag_mean,val_overall_rmse,val_overall_mae,val_overall_r2,val_overall_mape,val_step_1_rmse,val_step_1_mae,val_step_1_r2,val_step_1_mape,val_step_2_rmse,val_step_2_mae,val_step_2_r2,val_step_2_mape,val_step_3_rmse,val_step_3_mae,val_step_3_r2,val_step_3_mape,val_step_4_rmse,val_step_4_mae,val_step_4_r2,val_step_4_mape,val_step_5_rmse,val_step_5_mae,val_step_5_r2,val_step_5_mape,val_step_6_rmse,val_step_6_mae,val_step_6_r2,val_step_6_mape,val_step_7_rmse,val_step_7_mae,val_step_7_r2,val_step_7_mape,val_step_8_rmse,val_step_8_mae,val_step_8_r2,val_step_8_mape,val_step_9_rmse,val_step_9_mae,val_step_9_r2,val_step_9_mape,val_step_10_rmse,val_step_10_mae,val_step_10_r2,val_step_10_mape,val_step_11_rmse,val_step_11_mae,val_step_11_r2,val_step_11_mape,val_step_12_rmse,val_step_12_mae,val_step_12_r2,val_step_12_mape
1,0.08442720319258004,0.07335885769224225,0.0001,0.6522939801216125,31.34154510498047,0.07335885769224225,0,1.0,0.36503979563713074,0.876899003982544,0.7496494054794312,102.20858892788078,55.441533914753464,0.8651319728109581,0.16379601343143307,101.6223738417704,52.45980823235454,0.8666860296988194,0.15328490382126797,101.2519402531751,53.05717506051023,0.8676526732053738,0.15553244953828163,101.02314793009512,53.577638577228576,0.8682476771564513,0.15754641228227395,100.90775362580486,54.041277566063464,0.8685463466400577,0.1593458424093073,100.90845635637355,54.52476324026815,0.8685427980814446,0.16120683812357556,101.22062079318589,55.05014261697777,0.8677264811044358,0.1628937138323313,101.55024462311505,55.56291999606572,0.8668621209850274,0.16464941294136,102.02762028382739,56.124212134717965,0.8656062723631734,0.16647289125236636,102.7075957691455,56.74156288299729,0.863807043228968,0.1683272637627676,103.44851493781097,57.35400026461537,0.8618338842907833,0.1701577304182859,104.37512825019283,58.044461120359294,0.8593467827571128,0.17206212614731184,105.3436912073554,58.76114735710146,0.8567229815442557,0.17407490874718254
2,0.04447801299393177,0.04266311977921155,0.0001,0.3964034616947174,26.650055408477783,0.04266311977921155,0,1.0,0.3577314615249634,0.8343615531921387,0.8339317440986633,56.40382900588737,33.116641459980976,0.9589274757830022,0.09496083288288897,49.11009431599012,28.03861795527649,0.968865741434479,0.08104143025691278,50.08239570181013,29.08626575731828,0.9676198649455844,0.08389175193591536,51.12907859514444,29.957410984013336,0.9662516597562506,0.08629634365880234,52.385618958521896,30.843145820103988,0.9645719096551489,0.08867922549539287,53.58734246825701,31.684350585559756,0.9629273442490598,0.09099657826866979,54.942412816347286,32.55713203905078,0.9610282085676498,0.09339299175331056,56.38156850100242,33.43692482796213,0.9589593724199689,0.09582987482846606,57.90318466889865,34.36717216306244,0.9567139071489703,0.09842347876675035,59.55940842057118,35.34932844820055,0.9542016034529174,0.1010773400233442,61.183331915240444,36.305664495668154,0.9516697239791532,0.10379671019006205,63.02075126222353,37.34802900511813,0.9487229799542378,0.10660518572221547,64.91652702884956,38.42682590658058,0.9455910898617529,0.1095023003637601
3,0.03617615955768198,0.03599454488219886,0.0001,0.19050361216068268,27.006219625473022,0.03599454488219886,0,1.0,0.32087618112564087,0.8754209280014038,0.8754209280014038,47.46256645564693,27.890928429810533,0.9709171705686551,0.07989135282747754,36.50461026172015,21.888519270583526,0.9827974660490097,0.0636554879911883,38.51421417755538,23.272054919520347,0.980850803854282,0.06732401678497708,40.37284076036202,24.366839533882693,0.9789576081408556,0.07028622913907531,42.19153829094405,25.39208410207925,0.9770187152436964,0.07310054368553967,44.08541864773852,26.40947276252237,0.9749089291094961,0.07582589966679054,45.926005483076764,27.39194985238162,0.9727697103555887,0.07851335930304505,47.8461531765892,28.401407999954227,0.9704448111424773,0.08126832923778786,49.82667168331217,29.442125368529737,0.9679471063928887,0.08407933212252178,51.71217232629474,30.453729744359283,0.9654748887804887,0.08686129889912166,53.665807335252694,31.489645417411314,0.9628166630892787,0.08968870828338174,55.63728240565174,32.53784553676656,0.9600342981812012,0.09256709134398798,57.72520124077588,33.64678464576854,0.9569780210911021,0.09552952177350033
4,0.03365007745465491,0.03307862009100726,0.0001,0.2281680405139923,27.06186819076538,0.03307862009100726,0,1.0,0.28339606523513794,0.9051230549812317,0.9051230549812317,43.14668815688124,25.4342689355567,0.9759658287425701,0.07267987059374273,30.482524433701197,18.979005774772723,0.9880050386581729,0.05536462209353305,33.20824486812186,20.576250111608292,0.9857635957742726,0.05956247098329153,35.49296682887343,21.789101213267195,0.9837369838718489,0.06280158539635221,37.69782634668898,22.951007751356244,0.9816533741933494,0.0659381207079752,39.7366573856046,24.01425207681395,0.9796149433618987,0.06881249720405451,41.794673820537845,25.062032374081152,0.9774484293475129,0.07160481654019613,43.77539493092858,26.080360933700305,0.9752599922143729,0.07436939126156322,45.74914184676023,27.08734376118161,0.9729785039734334,0.07709649155298269,47.70107577787482,28.122174024982787,0.9706231064593029,0.07992551511278143,49.66602416846151,29.13923748180291,0.9681527587028363,0.0826866516607836,51.64533432052243,30.170878007870122,0.96556359455164,0.0855239142399226,53.6898515672216,31.240949838834776,0.9627827843964901,0.08847606032134515
5,0.032233208061264056,0.03141730464077348,0.0001,0.128091499209404,27.034417152404785,0.03141730464077348,0,1.0,0.24807694554328918,0.9269931316375732,0.9269931316375732,41.47851349502815,23.795690164444547,0.9777883619773945,0.06759691427422318,27.406160747585492,17.002989869292858,0.99030398245106,0.04962016063112548,30.74820695070109,18.73675580737843,0.9877947113112191,0.05408524804406024,33.462071331589634,20.089100177253528,0.9855448658110582,0.05761075337570473,35.89640308573286,21.29684333518947,0.9833648986639557,0.06079239487331381,38.195401047867925,22.452900334668314,0.9811656165640997,0.06382502619163788,40.35731212987332,23.550559977057826,0.9789728999236015,0.06676089239501921,42.41431447793366,24.58165629470583,0.9767745257691679,0.06956150063647508,44.374535682542536,25.568169864345116,0.9745779171798821,0.07227143983248188,46.3140835798943,26.57702908075654,0.9723066386577282,0.0750416687827206,48.21231388703789,27.562005815574647,0.9699897938938852,0.07774932773419543,50.10240208983545,28.559246170935317,0.9675904708007895,0.08053041659152989,52.01602965945162,29.572419067120265,0.9650671618794904,0.0833178981046108
6,0.031306776124984025,0.030933054632007195,0.0001,0.16299870610237122,26.983231782913208,0.030933054632007195,0,1.0,0.2153474986553192,0.9436662793159485,0.9436662793159485,39.98031761849152,23.025238204119947,0.9793639439064825,0.06562293191254617,25.35928270514371,15.947051384515907,0.9916982257025115,0.047016156709648094,29.0316923697453,17.79085310423562,0.9891193918055754,0.05172747571363419,31.8864821256032,19.187553451405247,0.9868740815094169,0.05535211557995128,34.46484416193103,20.486336415166715,0.9846652668687137,0.0587453271271738,36.76243184726765,21.668746653679477,0.9825523185483861,0.061822437921205634,38.929434526984664,22.79380008300814,0.9804344930558804,0.06477276125031003,40.99136850112076,23.875516282834507,0.9783067549930953,0.06771911791790972,42.95491447420322,24.899105392150936,0.9761784946160934,0.07047332375251025,44.875589716064276,25.934610400288378,0.9740002088283273,0.07329389850091567,46.71514128828436,26.911431779117926,0.9718247122100976,0.07606782715669477,48.563406722565446,27.89704475430771,0.9695509381743816,0.07881529311212196,50.437057457404244,28.91224767111092,0.967155779824973,0.08167329891769776
7,0.030669927290390905,0.03044996869387885,0.0001,0.1513030230998993,26.96238088607788,0.03044996869387885,0,1.0,0.18971221148967743,0.9548500180244446,0.9548500180244446,39.26978054306693,22.629092865746852,0.9800909210767542,0.06412710010070323,24.605307791384146,15.504583632296969,0.9921845390842312,0.04594594775342086,28.474978235597867,17.44452332208413,0.9895326856503399,0.050759303676646654,31.36768352606357,18.866785867165902,0.9872977287802115,0.05432452785450864,33.931305407139654,20.145428418792225,0.9851363756597856,0.05757718004226537,36.22585401718956,21.334939990258803,0.983057927958253,0.060587150981105266,38.331503699913846,22.436859012340534,0.9810309043191889,0.063440388126264,40.320181735298746,23.502476119249447,0.9790113431061553,0.06622943361025782,42.225913102294335,24.5052323838676,0.9769801979440477,0.06889031240270867,44.06081476723871,25.496204801081564,0.9749357582998178,0.07155407442951688,45.86669391803107,26.469997365632448,0.9728388657726963,0.07412113164237619,47.65611196195604,27.433400844630206,0.970678050526535,0.07672830389968051,49.4723016474253,28.410106079788473,0.968400245858693,0.07937114628472924
8,0.030203546313341798,0.029855777532449498,0.0001,0.19716845452785492,26.82751989364624,0.029855777532449498,0,1.0,0.17033027112483978,0.962410569190979,0.962410569190979,38.83374970580038,22.153258073813085,0.9805305862734475,0.06272980072854491,23.879007963020072,14.980616882049418,0.992639123145057,0.04450545313113628,27.88121393964222,16.94090282658682,0.9899646661931938,0.04931491391874136,30.870359209141835,18.353821419014977,0.9876973164766778,0.05285856167209784,33.548842342350085,19.694102930176047,0.9854695634743216,0.056252136954473286,35.829614638432574,20.86595731168818,0.9834265266929608,0.05921807865357409,37.96435194514507,21.991904976269687,0.9813925484909124,0.06211567415434299,39.975130173743246,23.07455960929159,0.9793690389325909,0.06495068029730255,41.86099252503866,24.066461253949626,0.9773763575670208,0.06755900798503803,43.661495997036575,25.038089810789266,0.9753880090651335,0.07015356896466962,45.42279222985121,25.98501340423752,0.9733620571605511,0.07268535243097697,47.18831495877676,26.943942949190745,0.9712508793706747,0.07527945779752859,48.98115230494531,27.90515279326462,0.9690245611834234,0.077868419390275
9,0.029831359653574665,0.02984175571410233,0.0001,0.2288360744714737,26.95470356941223,0.02984175571410233,0,1.0,0.15623536705970764,0.9674896001815796,0.9674896001815796,38.73738982742254,22.161716454280796,0.980627087011355,0.0627118941602124,23.700117588960545,14.915544725795952,0.9927489985325232,0.0444048192653674,27.721357355535265,16.871396804795562,0.9900794112193915,0.04916881532988471,30.74856366875859,18.31704385169353,0.9877942026884334,0.05275315606279794,33.42937754157823,19.671629003405112,0.9855728627195386,0.056157734012950516,35.71678857457086,20.84957042693167,0.9835307407976489,0.05913489843925714,37.881636272928034,22.01841574123799,0.9814735429542234,0.06205967237949236,39.862057746430835,23.0762335948339,0.9794855860758974,0.06485399432013332,41.787679662188296,24.12072226368484,0.9774555315905931,0.06757844185555806,43.59882302667229,25.10441219324758,0.9754586158761946,0.07021499658697548,45.37989625247438,26.071150365581836,0.9734123456166083,0.07281211862195965,47.12602423330515,27.00569202681512,0.9713267295726189,0.07540187776077033,48.85803378074575,27.920228124588988,0.9691800845697895,0.07800593855675148
10,0.029553588161744724,0.029831186221371143,0.0001,0.2179638296365738,26.97649645805359,0.029831186221371143,0,1.0,0.1464298814535141,0.9707531929016113,0.9707531929016113,38.58917127382464,21.898084902109485,0.9807750542220494,0.06159148130935905,23.405439286036778,14.658244519577526,0.9929281899866842,0.043656615208959505,27.605053356879214,16.67139457187421,0.9901624795739957,0.04846150379141364,30.68862309082002,18.147888951664164,0.9878417437344759,0.052081173823877946,33.376613072984256,19.466565808008202,0.9856183699662976,0.05531918880246527,35.67064320708767,20.64254812194258,0.98357326920566,0.05821583489693484,37.773759457760555,21.76033370956491,0.9815789095473151,0.06104596769043465,39.72645929414355,22.785984350461153,0.9796249161382322,0.0636662678874759,41.628069434854844,23.812064639998912,0.977627422241451,0.0663079918413083,43.409662027665306,24.786685086129864,0.9756711079466953,0.06884437883625628,45.16560487335073,25.737545534032268,0.9736628553495028,0.07132227337039923,46.91843498901691,26.691834216998775,0.971578783626999,0.07383764534965791,48.66251462043326,27.617357037588455,0.9694262601272516,0.0763425425892989
